572	drama
177	comedy
177	drama
118	comedy
405	horror
28	comedy
28	drama
28	fantasy
271	horror
271	thriller
500	adventure
500	animation
500	comedy
124	documentary
124	history
389	biography
686	drama
562	history
683	documentary
214	drama
377	documentary
32	animation
32	drama
32	history
549	drama
470	comedy
601	drama
358	drama
358	mystery
34	action
34	animation
34	comedy
651	biography
651	comedy
651	drama
355	action
355	adventure
355	comedy
538	documentary
106	action
106	drama
509	sci-fi
290	comedy
638	thriller
710	crime
710	drama
465	drama
465	romance
443	adventure
443	animation
443	sci-fi
160	action
160	crime
160	drama
556	drama
556	horror
472	drama
472	mystery
472	thriller
483	adventure
483	comedy
483	romance
566	comedy
566	drama
656	adventure
656	animation
656	comedy
492	adventure
492	drama
492	romance
633	comedy
633	crime
633	drama
521	biography
479	horror
353	comedy
353	drama
608	adventure
608	comedy
608	drama
466	drama
466	sci-fi
466	thriller
395	action
439	comedy
439	drama
439	romance
393	crime
393	drama
393	mystery
644	documentary
64	documentary
242	action
242	adventure
242	sci-fi
195	action
195	crime
195	drama
104	comedy
104	drama
390	crime
390	drama
568	adventure
568	animation
568	comedy
15	crime
15	drama
15	thriller
636	drama
161	comedy
161	family
431	crime
431	drama
267	comedy
267	drama
267	romance
136	drama
375	adventure
375	animation
375	comedy
211	adventure
338	action
338	adventure
338	sci-fi
455	drama
6	drama
6	war
36	action
525	comedy
525	crime
513	drama
704	comedy
704	drama
318	crime
318	drama
318	thriller
381	action
381	sci-fi
381	thriller
494	action
494	crime
494	drama
532	fantasy
325	documentary
57	drama
57	mystery
57	sci-fi
369	biography
369	drama
369	history
522	action
522	comedy
522	crime
240	drama
71	drama
543	documentary
433	drama
263	comedy
493	action
493	adventure
493	drama
693	drama
18	action
18	adventure
18	comedy
262	documentary
313	horror
313	thriller
343	comedy
637	action
637	drama
637	family
254	comedy
254	drama
254	music
486	drama
486	fantasy
486	horror
336	drama
328	drama
328	romance
328	sci-fi
560	adventure
560	animation
560	comedy
50	horror
50	thriller
186	action
186	adventure
186	romance
135	adventure
135	romance
593	action
593	adventure
593	fantasy
517	drama
517	thriller
82	action
60	documentary
126	documentary
17	action
17	drama
17	war
409	biography
409	drama
409	history
618	drama
618	romance
408	comedy
408	drama
408	romance
665	drama
665	romance
665	war
387	drama
587	crime
587	drama
587	horror
614	action
614	comedy
614	fantasy
635	drama
95	comedy
95	drama
95	romance
265	drama
265	romance
582	action
582	adventure
582	fantasy
658	action
658	adventure
658	animation
406	comedy
406	crime
423	drama
91	horror
661	horror
201	action
201	adventure
201	fantasy
488	comedy
488	romance
477	comedy
575	biography
575	drama
575	sport
664	comedy
664	drama
664	sci-fi
450	adventure
450	drama
450	fantasy
570	drama
505	horror
505	thriller
700	action
700	crime
700	thriller
317	drama
357	action
357	adventure
357	sci-fi
75	comedy
75	drama
621	crime
621	thriller
690	comedy
690	drama
690	sci-fi
698	drama
426	drama
207	drama
475	documentary
327	adventure
327	comedy
327	western
612	drama
282	drama
230	horror
51	comedy
51	drama
51	thriller
438	drama
438	thriller
274	mystery
274	thriller
53	action
53	comedy
53	crime
398	horror
398	thriller
469	comedy
469	horror
469	thriller
694	action
694	crime
694	thriller
16	comedy
16	drama
154	action
280	drama
70	musical
413	drama
594	action
594	comedy
594	crime
219	comedy
219	drama
451	drama
496	action
496	drama
239	drama
239	mystery
239	sci-fi
316	drama
611	action
611	comedy
611	crime
701	adventure
701	animation
701	comedy
48	action
48	crime
48	thriller
291	comedy
291	fantasy
202	action
202	adventure
202	fantasy
354	comedy
341	comedy
555	drama
555	thriller
127	action
127	drama
337	comedy
337	mystery
146	comedy
627	drama
485	comedy
142	action
142	thriller
573	documentary
550	adventure
550	drama
550	mystery
641	drama
641	fantasy
257	fantasy
257	horror
257	thriller
266	action
266	adventure
266	comedy
309	drama
309	sport
667	horror
667	thriller
296	drama
712	action
712	adventure
712	fantasy
25	drama
25	mystery
25	sci-fi
238	action
238	adventure
238	crime
376	comedy
376	romance
270	biography
270	documentary
270	history
213	action
213	adventure
213	animation
606	drama
606	music
606	romance
236	comedy
236	drama
236	romance
462	family
462	sport
697	comedy
620	comedy
620	drama
232	drama
232	history
307	adventure
307	comedy
581	drama
581	thriller
642	comedy
642	drama
526	action
526	adventure
526	drama
384	drama
203	crime
203	thriller
311	comedy
311	drama
541	adventure
541	drama
541	history
520	horror
520	thriller
379	action
379	crime
379	drama
187	comedy
187	drama
187	romance
629	comedy
629	crime
629	drama
498	drama
498	history
498	romance
602	comedy
602	family
308	biography
308	drama
308	music
400	action
400	comedy
400	crime
535	adventure
535	comedy
