2123	572
308	177
2207	118
217	405
159	28
1167	28
2182	271
2218	124
2238	124
223	686
1370	562
359	683
2628	214
972	377
1641	32
1965	549
1325	470
2571	358
1015	34
2385	651
1965	355
1804	538
2584	106
51	509
1630	509
2486	290
2221	638
2449	443
2623	443
832	160
2244	556
265	472
1099	483
857	656
681	492
1294	633
2535	521
2920	479
910	353
26	466
2179	395
2049	439
1838	393
1782	644
404	64
1565	242
621	195
1426	104
2651	568
966	636
815	161
2657	161
2743	431
2269	267
1757	375
2121	375
2551	211
2756	338
2766	525
1594	513
2690	704
2136	318
2032	381
2636	494
24	532
716	325
896	57
933	369
2387	522
732	240
1749	71
7	543
2266	433
745	263
1715	493
2646	493
101	693
1578	18
1226	262
143	313
1476	343
1075	637
316	254
820	486
1480	336
1956	328
2519	560
389	50
1478	186
2289	135
2004	593
626	593
1721	517
246	82
565	126
172	126
1200	17
209	409
2214	618
344	665
2901	387
2922	587
1811	614
1908	635
552	265
1080	582
1661	658
1363	406
2125	423
2358	91
2760	661
2559	201
1278	488
2262	477
1748	575
107	664
1584	450
421	570
2472	505
1862	700
1813	317
2222	357
2799	75
1111	621
1478	621
617	690
462	698
535	426
920	207
1864	475
1706	327
1642	612
736	282
949	230
1753	51
1331	51
2532	438
2712	274
2297	53
1302	398
2647	469
357	694
896	16
830	154
1253	280
140	70
1274	413
2662	594
1794	219
1238	451
2683	496
109	239
2307	316
1523	611
2239	701
13	48
2867	291
1545	202
2785	354
273	341
1287	555
1268	337
964	337
2925	146
1037	627
2192	485
1205	142
2593	573
2230	573
1948	550
869	641
571	257
2148	266
154	309
2463	667
1338	296
2219	712
757	25
908	238
815	376
2657	376
2359	270
9	213
926	213
2939	606
775	236
1050	462
491	697
692	620
89	232
1437	581
2830	642
1907	526
593	384
2143	203
2744	311
204	541
1090	520
1605	379
789	187
1633	629
2713	498
2837	602
1834	308
541	535
132	590
925	134
1719	711
298	326
141	208
2426	109
2317	56
74	94
2440	245
155	352
2061	660
2805	178
346	13
520	403
1691	164
1275	217
1893	185
1605	631
1824	630
2557	592
1803	445
868	156
675	143
2783	143
487	371
2502	194
640	506
684	685
1903	61
999	65
2866	8
508	508
2222	117
2072	288
773	293
2483	292
2394	571
2444	373
1561	373
113	281
871	285
1506	319
1702	673
2713	640
88	295
492	674
1466	162
1196	300
788	300
2581	380
1304	537
1024	402
2060	157
930	709
2265	183
1200	639
1195	422
1191	99
2729	172
1994	172
1624	155
2273	580
2572	717
285	495
2489	495
2442	93
330	662
1873	591
2386	241
540	567
413	283
2553	600
1880	434
1323	434
412	268
2652	482
770	482
702	688
2794	645
1814	148
1914	182
652	468
34	166
408	419
1524	167
829	247
2272	467
1923	385
2253	153
1901	650
175	359
284	563
2466	35
2588	708
2112	699
1600	577
501	314
2292	97
1825	331
851	88
2134	412
1110	287
1723	351
687	436
1711	490
1974	140
347	179
953	323
481	396
2091	205
1562	205
592	297
1937	453
1097	55
1952	55
2525	298
2375	414
2053	248
42	442
122	139
2311	536
2018	68
1409	11
1104	411
76	714
1460	714
1321	514
424	529
309	191
437	120
2491	20
2654	473
98	19
1801	534
1958	440
1450	110
1844	223
1951	324
1957	670
397	348
148	49
1949	49
1936	516
348	657
44	322
211	378
553	553
2344	553
2641	87
2430	144
1353	144
2041	481
2431	481
1817	481
225	481
2499	121
474	703
362	306
1742	684
2663	209
859	548
2649	544
911	718
2133	676
666	463
824	145
2562	40
392	101
731	212
503	175
318	286
2944	72
656	72
2413	72
247	588
610	675
2460	542
208	184
1416	273
1404	437
1717	304
1846	69
627	278
744	546
1547	458
651	478
2257	681
2623	681
2267	105
927	224
340	243
2633	229
780	391
1959	391
1710	687
417	21
2229	404
931	497
926	497
1725	552
2249	565
2306	624
2199	554
1101	67
2090	173
506	617
707	444
952	226
2074	609
2768	320
1644	132
2423	456
1494	137
2762	634
2826	428
1253	43
2464	652
1690	335
2739	168
1784	231
2930	628
1998	246
1242	460
672	460
269	561
2702	615
1193	615
2639	250
1279	86
123	108
1656	623
1989	332
43	610
2639	152
1593	5
538	649
2114	98
909	648
2007	361
2286	284
2771	647
2319	26
1143	119
1740	680
2274	524
415	489
1956	200
1195	125
2671	480
30	605
920	531
479	523
1013	149
2656	576
974	206
2355	198
2013	397
1432	374
1992	303
1044	527
1978	158
2546	158
2640	344
2115	235
1888	484
2560	388
1438	595
2365	659
772	551
2099	603
544	653
888	233
888	102
453	81
2031	275
1640	707
2300	515
204	188
421	586
2926	330
311	116
888	339
888	107
240	58
2624	679
1803	528
2564	578
337	66
1984	222
1672	79
463	30
1803	334
888	234
1472	128
2469	511
2251	626
405	415
2731	289
213	383
1921	559
209	421
1542	716
607	255
1433	474
315	31
1478	31
588	424
563	510
1655	39
518	210
401	607
1841	646
2424	129
266	360
204	692
1285	244
1024	170
2003	672
833	672
158	44
2875	12
1388	305
1072	589
1253	585
1981	165
1870	706
2595	471
1004	430
1745	190
1144	457
2888	663
525	24
1422	464
2842	196
1447	196
812	76
643	407
2313	476
1525	237
1840	192
1746	253
2802	441
2541	557
1448	130
2452	370
1806	579
1220	677
2360	420
653	448
2328	533
569	569
839	52
1972	695
1316	264
1123	432
1501	643
2843	584
2661	174
2190	174
2187	92
2094	604
1	346
1554	622
753	312
2105	90
2633	199
1973	340
2493	260
1584	425
994	138
1091	366
1483	169
1292	668
378	410
1368	599
1009	539
1251	228
403	401
2058	46
589	163
1218	27
764	632
2658	613
1108	276
997	362
2100	418
425	372
2016	249
435	491
2626	392
1013	315
1674	349
1120	349
646	447
1600	38
2371	342
2773	176
2772	4
1349	171
2498	74
479	386
1555	80
178	14
598	367
2099	368
846	619
1752	221
750	363
319	181
2227	558
2717	669
1089	123
322	112
1695	33
2310	33
655	122
1890	122
1011	564
777	545
2391	365
699	365
756	364
2620	583
2552	427
343	507
1796	227
1459	216
854	310
2348	22
151	2
2609	261
641	256
1054	84
2369	78
1362	23
324	702
1486	189
1384	193
977	299
121	37
899	63
1692	103
1161	29
1660	446
1174	73
967	382
1102	449
321	682
2197	417
2495	83
1583	251
1138	333
2702	596
1720	159
2373	252
2087	151
1399	151
1160	85
963	530
2256	272
981	512
637	302
612	1
1735	356
2576	616
900	347
1585	625
2250	625
2642	501
1139	218
1917	218
700	499
1141	277
662	705
1450	671
1622	655
1944	547
509	96
1909	574
2836	204
1648	461
1525	180
881	197
1575	518
944	598
2259	598
2166	429
1365	429
1263	691
1113	42
1067	399
1199	454
416	504
935	47
680	47
